
Lista de Imoveis da Caixa;;Data de geracao:;25/06/2026;;;;;;
N do imovel;UF;Cidade;Bairro;Endereco;Preco;Valor de avaliacao;Desconto;Financiamento;Descricao;Modalidade de venda;Link de acesso

8444409668193;RS;ALEGRETE;CAPAO DO ANGICO;RUA LARANJEIRA, N. 380, LT 02, QD F6;151733.92;284000;4658;Nao;Casa, 0.00 de área total, 146.57 de área privativa, 285.20 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444409668193
10214912;RS;ALEGRETE;CENTRO;RUA VASCO ALVES, N. 464, QD 41, LT 13;577024.37;1006000;4265;Nao;Casa, 0.00 de área total, 228.63 de área privativa, 508.80 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10214912
8444413299660;RS;ALVORADA;UMBU;RUA TRINTA E UM, N. 118, Apto 402;34694.74;112000;6903;Nao;Apartamento, 0.00 de área total, 39.78 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444413299660
1444408525455;RS;ALVORADA;APARECIDA;RUA ENI DAVILA FRAGOSO, N. 22, CASA;59191.37;151800;6101;Nao;Casa, 0.00 de área total, 65.00 de área privativa, 152.58 de área do terreno,  2 qto(s), varanda, a.serv, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444408525455
8444407702440;RS;ALVORADA;TIJUCA;RUA VINTE E SETE, N. 63, Apto 203, Atual Dezesseis Unidos;37712.34;96000;6072;Nao;Apartamento, 0.00 de área total, 39.78 de área privativa, 0.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444407702440
8444417829907;RS;ALVORADA;UMBU;RUA CARAMURU ANTIGA RUA 21, N. 129, Apto 3, .;50109.01;120500;5842;Nao;Apartamento, 0.00 de área total, 35.24 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444417829907
8444429256001;RS;ALVORADA;MARIA REGINA;RUA DEZESSEIS UNIDOS, N. 31, Apto 302, CO;45901.86;95000;5169;Nao;Apartamento, 0.00 de área total, 39.78 de área privativa, 504.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429256001
8444400618479;RS;ALVORADA;MARIA REGINA;RUA RODA DE FOGO (ANTIGA RUA 28), N. 33, Apto 103, LT 07 QD 58;49359.24;101000;5113;Nao;Apartamento, 0.00 de área total, 39.78 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444400618479
8444429692391;RS;ALVORADA;MARIA REGINA;RUA SELVA DE PEDRA (ANTIGA RUA 30), N. 191, Apto 401,;42548.36;83000;4874;Nao;Apartamento, 42.84 de área total, 39.78 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429692391
8444430923695;RS;ALVORADA;JARDIM ALGARVE;RUA CENTO E QUARENTA E OITO, N. 458, Apto 303,;86218.42;161659;4667;Nao;Apartamento, 0.00 de área total, 27.50 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444430923695
8444430843446;RS;ALVORADA;JARDIM ALGARVE;RUA IRAUNAS, N. 225, Apto 203,;65921.81;115000;4268;Nao;Apartamento, 31.90 de área total, 27.50 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444430843446
8444433881063;RS;ALVORADA;UMBU;RUA EDISON DE OLIVEIRA, N. 518, Apto 304, BL 03 SUB-BL A;70507.67;123000;4268;Nao;Apartamento, 43.56 de área total, 42.98 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444433881063
8444428679626;RS;ALVORADA;MARIA REGINA;RUA BARAO DE COTEGIPE, N. 149, Apto 104,;91879.11;159021;4223;Nao;Apartamento, 44.44 de área total, 38.80 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444428679626
8444429608382;RS;ALVORADA;JARDIM ALGARVE;RUA IRAUNAS, N. 225, Apto 303,;75884.78;131000;4208;Nao;Apartamento, 27.50 de área total, 27.50 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429608382
8444407748564;RS;ALVORADA;TIJUCA;RUA CANGUCU, N. SN, FRACAO 04 LT 10 QD K;46472.85;80000;4191;Nao;Terreno, 0.00 de área total, 0.00 de área privativa, 365.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444407748564
8444426086938;RS;ALVORADA;JARDIM ALGARVE;RUA CENTO E QUARENTA E SEIS, N. 119, Apto 301, PAV 2/3 LT 44 QD E-22;94815.14;160000;4075;Nao;Apartamento, 33.68 de área total, 29.00 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444426086938
8444417912600;RS;ALVORADA;MARIA REGINA;RUA JOSE LINS DO REGO, N. 762, CS 01, QD G, LT 14;133930.31;221587.22;3956;Nao;Casa, 71.25 de área total, 71.25 de área privativa, 90.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444417912600
8555521786269;RS;ALVORADA;BELA VISTA;ESTRADA FREDERICO DIHL, N. 856, Apto 113, LT 43, 47 AO 52, QD 10;118465.05;196000;3956;Nao;Apartamento, 67.17 de área total, 49.31 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555521786269
8444406534447;RS;ALVORADA;APARECIDA;RUA DOM PEDRITO, N. 117, PARTE LT 09 CHACARA 02 QD 31;221921.19;362436;3877;Nao;Casa, 120.00 de área total, 120.00 de área privativa, 231.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406534447
10218347;RS;ALVORADA;AMERICANA;RUA MARIZ E BARROS (ANTIGA RUA A), N. 1062, QD 04, LT 13;232619.72;365000;3627;Nao;Casa, 0.00 de área total, 184.82 de área privativa, 360.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10218347
8787703218666;RS;ALVORADA;PQ. RES. VALE VERDE;RUA F, N. 130, Apto 203, BLOCO 04;165000;165000;0;Nao;Apartamento, 85.45 de área total, 43.99 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787703218666
8444429774495;RS;ALVORADA;JARDIM ALGARVE;RUA CENTO E VINTE E UM, N. 134, Apto 302, LT 13 QD E16A;160000;160000;0;Nao;Apartamento, 29.37 de área total, 29.37 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429774495
8444431781045;RS;ALVORADA;JARDIM ALGARVE;RUA CENTO E CINQUENTA, N. 226, Apto 202, LT 11 QD E-6D;165000;165000;0;Nao;Apartamento, 41.76 de área total, 35.88 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444431781045
8444431790753;RS;ALVORADA;MARIA REGINA;RUA TUPI, N. 580, Apto 404, 4° ANDAR, LOTE 8, QUADRA 61;138070;138070;0;Nao;Apartamento, 42.84 de área total, 39.78 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444431790753
8555536409199;RS;ALVORADA;TERRA NOVA;ACESSO TERRA NOVA, N. 601, CASA 356;260000;260000;0;Nao;Casa, 51.54 de área total, 51.05 de área privativa, 85.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555536409199
8444428629637;RS;ALVORADA;JARDIM ALGARVE;RUA ALDO RODRIGUES DA SILVA, N. 205, Apto 102,;136492.09;126000;0;Nao;Apartamento, 0.00 de área total, 33.35 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444428629637
8444436609666;RS;ALVORADA;UMBU;RUA TRINTA E DOIS, N. 119, Apto 202,;102409.27;86500;0;Nao;Apartamento, 42.84 de área total, 39.78 de área privativa, 0.00 de área do terreno,  2 qto(s), WC Emp, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444436609666
8044500518845;RS;ALVORADA;PASSO DORNELES;ESTRADA CAMINHO DO MEIO, N. 5425, CS 71 QD E;270000;222000;0;Nao;Casa, 0.00 de área total, 46.72 de área privativa, 150.22 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8044500518845
8444437760848;RS;ALVORADA;MARIA REGINA;RUA CAMPO VERDE, N. 709, Apto 302, LT 23 QD 32;182462.3;150000;0;Nao;Apartamento, 47.90 de área total, 42.87 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444437760848
8444434537331;RS;ARARICA;AZALEIA;RUA DOM JOÃO VI, N. SN, QD 14 SETOR 104 LT 1;115000;115000;0;Nao;Terreno, 0.00 de área total, 0.00 de área privativa, 442.75 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444434537331
1444417079314;RS;ARROIO DO MEIO;BARRA DO FORQUETA;RUA SAO CRISTOVAO, N. 191, LT 16, QD A, ZN 04;384779.75;659000;4162;Nao;Terreno, 0.00 de área total, 0.00 de área privativa, 968.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444417079314
