
Lista de Imoveis da Caixa;;Data de geracao:;26/06/2026;;;;;;
N do imovel;UF;Cidade;Bairro;Endereco;Preco;Valor de avaliacao;Desconto;Financiamento;Descricao;Modalidade de venda;Link de acesso

10203836;SC;AGROLANDIA;CENTRO;RUA RICARDO HOBUS, N. 00, LT 01-D;233554.23;450000;48.1;Sim;Terreno, 0.00 de área total, 0.00 de área privativa, 2000.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10203836
8444431159859;SC;ARAQUARI;ITINGA;RUA SANTO ANTONIO, N. 420, CS 04;245000;245000;0;Nao;Casa, 54.30 de área total, 52.24 de área privativa, 130.00 de área do terreno,  2 qto(s), a.serv, WC.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444431159859
8042700009840;SC;ARARANGUA;URUSSANGUINHA;RUA PROFESSORA IZABEL FLORES HUBE, N. 263, TERREO;420000;420000;0;Nao;Casa, 0.00 de área total, 202.97 de área privativa, 600.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8042700009840
8444416882413;SC;AURORA;BAIRRO SANTA TERESA;RODOVIA SC 350 - KM 290/648, N. 125, CS 02;153076.13;250000;38.77;Nao;Casa, 55.21 de área total, 54.53 de área privativa, 651.46 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416882413
1444409312803;SC;BARRA VELHA;ITAJUBA;RUA AREIA BRANCA, N. 722, Apto 101,;400000;400000;0;Nao;Apartamento, 69.65 de área total, 62.04 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444409312803
8555533705676;SC;BIGUACU;FUNDOS;RUA JULIO TEODORO MARTINS, N. 1830, Apto 103, BL A BOX 03;270000;270000;0;Nao;Apartamento, 64.54 de área total, 57.97 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555533705676
1555527978129;SC;BIGUACU;RIO CAVEIRAS;RUA JOVITO JOSE SODRE, N. 319, QD J;4200000;4200000;0;Nao;Galpão, 1620.17 de área total, 1228.17 de área privativa, 1800.00 de área do terreno, WC, 4 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555527978129
1787702497113;SC;BIGUACU;JARDIM JANAINA;RUA HUMBERTO CESAR DE MORAES, N. 65, Apto 204, BL 40;290000;290000;0;Nao;Apartamento, 68.34 de área total, 47.80 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787702497113
8787717335864;SC;BIGUACU;JARDIM JANAINA;RUA HUMBERTO CESAR DE MORAES, N. 65, Apto 202, PAV 02 BL02;212500;212500;0;Nao;Apartamento, 87.31 de área total, 47.80 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787717335864
8787717337859;SC;BIGUACU;JARDIM JANAINA;RUA HUMBERTO CESAR DE MORAES, N. 65, Apto 201, BL 21 VAGA DE GARAGEM 379;270000;270000;0;Nao;Apartamento, 81.62 de área total, 43.80 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787717337859
8787717342615;SC;BIGUACU;JARDIM JANAINA;RUA HUMBERTO CESAR DE MORAES, N. 65, Apto 404, PAV 04 BL 26;266000;266000;0;Nao;Apartamento, 86.11 de área total, 46.67 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787717342615
8787715349248;SC;BLUMENAU;ITOUPAVA CENTRAL;RUA GUSTAVO ZIMMERMANN, N. 5095, Apto 403, BL A VG 92;156137.65;255000;38.77;Nao;Apartamento, 61.84 de área total, 45.02 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715349248
8787714419161;SC;BLUMENAU;SALTO DO NORTE;RUA ELSBETH FEDDERSEN, N. 565, Apto 301, BL 03;202060.49;330000;38.77;Nao;Apartamento, 73.36 de área total, 50.57 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714419161
